SKU,Description,Inventory €,Annual Demand €,Lead Time days,Safety Stock €
82121-52A10,Engine Room Main Harness 1.3L,16200,612000,5,11000
82121-52A20,Engine Room Main Harness 1.6L,19800,748000,5,13500
82121-52A30,Engine Room Main Harness 1.8L,9600,362000,6,6800
82141-52A10,Instrument Panel Harness,21400,812000,4,14000
82151-52A10,Door Harness LH,7300,276000,6,5200
82152-52A10,Door Harness RH,7450,281000,6,5300
82170-52A10,Roof Harness,5900,224000,7,4100
82161-52A10,Back Door Harness,6100,231000,7,4300
82111-52A10,Floor Main Harness 1.3L,12800,486000,5,9000
82111-52A20,Floor Main Harness 1.6L,15600,594000,5,11000
82111-52A30,Floor Main Harness 1.8L,7900,298000,6,5600
84032-52A10,Air Bag Harness,8400,318000,8,6000
82620-52A20,AT Transmission Harness 1.6L,4200,159000,9,3000
82620-52A30,AT Transmission Harness 1.8L,3100,118000,9,2300
WH-WR-035-BLK,Wire 0.35mm² Black,4100,31000,55,5200
WH-WR-035-WHT,Wire 0.35mm² White,3800,28500,55,4800
WH-WR-050-BLK,Wire 0.50mm² Black,95000,68000,50,11000
WH-WR-050-RED,Wire 0.50mm² Red,6700,49500,50,8200
WH-WR-050-YEL,Wire 0.50mm² Yellow,5900,44000,48,7100
WH-WR-085-BLK,Wire 0.85mm² Black,7300,54000,52,8900
WH-WR-085-BLU,Wire 0.85mm² Blue,5100,38000,52,6300
WH-WR-125-BLK,Wire 1.25mm² Black,8600,63500,55,10200
WH-WR-125-RED,Wire 1.25mm² Red,6200,46000,55,7600
WH-WR-125-GRN,Wire 1.25mm² Green,4700,35000,53,5900
WH-WR-200-BLK,Wire 2.00mm² Black,6900,51000,58,8500
WH-WR-200-RED,Wire 2.00mm² Red,4300,32000,58,5400
WH-WR-300-BLK,Wire 3.00mm² Black,5500,40500,,7000
WH-WR-500-RED,Battery Cable 5.00mm² Red,8100,60000,62,9800
WH-WR-050-GRY,Wire 0.50mm² Grey,3600,27000,50,4500
WH-TM-F-0510,Female Terminal 0.5-1.25mm²,3200,24000,45,4000
WH-TM-M-0510,Male Terminal 0.5-1.25mm²,3100,23500,45,3900
WH-TM-F-1525,Female Terminal 1.5-2.5mm²,2800,21000,45,3500
WH-TM-M-1525,Male Terminal 1.5-2.5mm²,2750,20800,45,
WH-TM-F-3050,Female Terminal 3.0-5.0mm²,2200,16500,48,2800
WH-TM-M-3050,Male Terminal 3.0-5.0mm²,2150,16200,48,2750
WH-TM-RING-M6,Ring Terminal M6,1800,13500,42,2300
WH-TM-RING-M8,Ring Terminal M8,1650,12400,42,2100
WH-TM-EYE-M6,Eyelet Terminal M6,1400,10500,40,1800
WH-TM-FUSIBLE,Fusible Link Terminal,1900,14200,46,2450
